1,1,99.0,0.0,217.0,72.0,1,1,1.0
1,2,313.0,0.0,395.0,108.0,1,1,1.0
1,3,38.0,61.0,139.0,63.0,1,1,1.0
2,1,98.98,0.0,217.0,71.93,1,1,1.0
2,2,313.0,0.0,394.97,107.97,1,1,1.0
2,3,30.4,58.0,126.79999999999998,61.0,1,1,1.0
3,1,98.97,0.0,217.00000000000003,71.86,1,1,1.0
3,2,313.0,0.0,394.92999999999995,107.93,1,1,1.0
3,3,22.8,55.0,114.60000000000001,59.0,1,1,1.0
4,1,98.95,0.0,217.0,71.8,1,1,1.0
4,2,313.0,0.0,394.9,107.9,1,1,1.0
4,3,15.2,52.0,102.39999999999999,57.0,1,1,1.0
5,1,98.93,0.0,217.0,71.73,1,1,1.0
5,2,313.0,0.0,394.86,107.86,1,1,1.0
5,3,7.6,49.0,90.2,55.0,1,1,1.0
6,1,98.92,0.0,217.0,71.66,1,1,1.0
6,2,313.0,0.0,394.83000000000004,107.83,1,1,1.0
6,3,0.0,46.0,78.0,53.0,1,1,1.0
7,1,98.9,0.0,216.99999999999997,71.59,1,1,1.0
7,2,313.0,0.0,394.79999999999995,107.8,1,1,1.0
7,3,0.0,45.0,61.67,47.33,1,1,1.0
8,1,98.88,0.0,217.0,71.53,1,1,1.0
8,2,313.0,0.0,394.76,107.76,1,1,1.0
8,3,0.0,44.0,45.33,41.67,1,1,1.0
9,1,98.86,0.0,217.0,71.46,1,1,1.0
9,2,313.0,0.0,394.73,107.73,1,1,1.0
9,3,0.0,43.0,29.0,36.0,1,1,1.0
10,1,98.85,0.0,217.00000000000003,71.39,1,1,1.0
10,2,313.0,0.0,394.69000000000005,107.69,1,1,1.0
10,3,0.0,47.0,12.0,29.0,1,1,1.0
10,4,919.0,171.0,41.0,84.0,1,1,1.0
11,1,98.83,0.0,217.0,71.32,1,1,1.0
11,2,313.0,0.0,394.65999999999997,107.66,1,1,1.0
11,4,867.0,169.0,93.0,97.0,1,1,1.0
12,1,98.81,0.0,217.0,71.25,1,1,1.0
12,2,313.0,0.0,394.63,107.63,1,1,1.0
12,4,824.6,162.8,130.0,101.80000000000001,1,1,1.0
13,1,98.8,0.0,217.0,71.19,1,1,1.0
13,2,313.0,0.0,394.59000000000003,107.59,1,1,1.0
13,4,782.2,156.6,167.0,106.6,1,1,1.0
14,1,98.78,0.0,216.99999999999997,71.12,1,1,1.0
14,2,313.0,0.0,394.55999999999995,107.56,1,1,1.0
14,4,739.8,150.4,204.0,111.4,1,1,1.0
14,5,0.0,181.0,18.0,42.0,1,1,1.0
